Questionnaire_Item,Statement,Dimension,Forward- or Reverse-coded item,Scoring
IPIP_01,Am the life of the party.,Extraversion,Forward,"Forward:
1 = Very inaccurate
2 = Moderately Inaccurate
3 = Neither Accurate Nor Inaccurate
4 = Moderately Accurate
5 = Very Accurate

Reverse:
Forward:
5 = Very inaccurate
4 = Moderately Inaccurate
3 = Neither Accurate Nor Inaccurate
2 = Moderately Accurate
1 = Very Accurate"
IPIP_02,Feel little concern for others.,Agreeableness,Reverse,
IPIP_03,Am always prepared.,Conscientiousness,Forward,
IPIP_04,Get stressed out easily.,Emotional Stability,Reverse,
IPIP_05,Have a rich vocabulary.,Intellect,Forward,
IPIP_06,Don't talk a lot.,Extraversion,Reverse,
IPIP_07,Am interested in people.,Agreeableness,Forward,
IPIP_08,Leave my belongings around.,Conscientiousness,Reverse,
IPIP_09,Am relaxed most of the time.,Emotional Stability,Forward,
IPIP_10,Have difficulty understanding abstract ideas.,Intellect,Reverse,
IPIP_11,Feel comfortable around people.,Extraversion,Forward,
IPIP_12,Insult people.,Agreeableness,Reverse,
IPIP_13,Pay attention to details.,Conscientiousness,Forward,
IPIP_14,Worry about things.,Emotional Stability,Reverse,
IPIP_15,Have a vivid imagination.,Intellect,Forward,
IPIP_16,Keep in the background.,Extraversion,Reverse,
IPIP_17,Sympathize with others' feelings.,Agreeableness,Forward,
IPIP_18,Make a mess of things.,Conscientiousness,Reverse,
IPIP_19,Seldom feel blue.,Emotional Stability,Forward,
IPIP_20,Am not interested in abstract ideas.,Intellect,Reverse,
IPIP_21,Start conversations.,Extraversion,Forward,
IPIP_22,Am not interested in other people's problems.,Agreeableness,Reverse,
IPIP_23,Get chores done right away.,Conscientiousness,Forward,
IPIP_24,Am easily disturbed.,Emotional Stability,Reverse,
IPIP_25,Have excellent ideas.,Intellect,Forward,
IPIP_26,Have little to say.,Extraversion,Reverse,
IPIP_27,Have a soft heart.,Agreeableness,Forward,
IPIP_28,Often forget to put things back in their proper place.,Conscientiousness,Reverse,
IPIP_29,Get upset easily.,Emotional Stability,Reverse,
IPIP_30,Do not have a good imagination.,Intellect,Reverse,
IPIP_31,Talk to a lot of different people at parties.,Extraversion,Forward,
IPIP_32,Am not really interested in others.,Agreeableness,Reverse,
IPIP_33,Like order.,Conscientiousness,Forward,
IPIP_34,Change my mood a lot.,Emotional Stability,Reverse,
IPIP_35,Am quick to understand things.,Intellect,Forward,
IPIP_36,Don't like to draw attention to myself.,Extraversion,Reverse,
IPIP_37,Take time out for others.,Agreeableness,Forward,
IPIP_38,Shirk my duties.,Conscientiousness,Reverse,
IPIP_39,Have frequent mood swings.,Emotional Stability,Reverse,
IPIP_40,Use difficult words.,Intellect,Forward,
IPIP_41,Don't mind being the center of attention.,Extraversion,Forward,
IPIP_42,Feel others' emotions.,Agreeableness,Forward,
IPIP_43,Follow a schedule.,Conscientiousness,Forward,
IPIP_44,Get irritated easily.,Emotional Stability,Reverse,
IPIP_45,Spend time reflecting on things.,Intellect,Forward,
IPIP_46,Am quiet around strangers.,Extraversion,Reverse,
IPIP_47,Make people feel at ease.,Agreeableness,Forward,
IPIP_48,Am exacting in my work.,Conscientiousness,Forward,
IPIP_49,Often feel blue.,Emotional Stability,Reverse,
IPIP_50,Am full of ideas.,Intellect,Forward,
SD_M1,It’s not wise to tell your secrets.,Machiavellianism,Forward,"Short Dark Triad (SD3, Jones & Paulhus, 2013). It evaluates the three personality traits with nine items per trait on a five-point Likert-scale (1 = strongly disagree to 5 = strongly agree)."
SD_M2,I like to use clever manipulation to get my way.,Machiavellianism,Forward,
SD_M3,"Whatever it takes, you must get the important people on your side.",Machiavellianism,Forward,
SD_M4,Avoid direct conflict with others because they may be useful in the future.,Machiavellianism,Forward,
SD_M5,It’s wise to keep track of information that you can use against people later.,Machiavellianism,Forward,
SD_M6,You should wait for the right time to get back at people.,Machiavellianism,Forward,
SD_M7,There are things you should hide from other people to preserve your reputation.,Machiavellianism,Forward,
SD_M8,"Make sure your plans benefit yourself, not others.",Machiavellianism,Forward,
SD_M9,Most people can be manipulated.,Machiavellianism,Forward,
SD_N1,People see me as a natural leader.,Narcissism,Forward,
SD_N2,I hate being the center of attention.,Narcissism,Reverse,
SD_N3,Many group activities tend to be dull without me.,Narcissism,Forward,
SD_N4,I know that I am special because everyone keeps telling me so.,Narcissism,Forward,
SD_N5,I like to get acquainted with important people.,Narcissism,Forward,
SD_N6,I feel embarrassed if someone compliments me.,Narcissism,Reverse,
SD_N7,I have been compared to famous people.,Narcissism,Forward,
