Code,Gender,Age,Ethnicity,Secondyeargrade,Opptional_mod,Opptional_mod_1_TEXT,Research_exp,Research_exp_1_TEXT,Plan_prereg,SATS28_1_Affect_F_Time1,SATS28_2_Affect_R_Time1,SATS28_3_Affect_R_Time1,SATS28_4_Affect_R_Time1,SATS28_5_Affect_F_Time1,SATS28_6_Affect_R_Time1,SATS28_7_CognitiveCompetence_R_Time1,SATS28_8_CognitiveCompetence_R_Time1,SATS28_9_CognitiveCompetence_R_Time1,SATS28_10_CognitiveCompetence_F_Time1,SATS28_11_CognitiveCompetence_F_Time1,SATS28_12_CognitiveCompetence_R_Time1,SATS28_13_Value_R_Time1,SATS28_14_Value_F_Time1,SATS28_15_Value_F_Time1,SATS28_16_Value_R_Time1,SATS28_17_Value_R_Time1,SATS28_18_Value_F_Time1,SATS28_19_Value_R_Time1,SATS28_20_Value_R_Time1,SATS28_21_Value_R_Time1,SATS28_22_Difficulty_F_Time1,SATS28_23_Difficulty_R_Time1,SATS28_24_Difficulty_F_Time1,SATS28_25_Difficulty_R_Time1,SATS28_26_Difficulty_R_Time1,SATS28_27_Difficulty_R_Time1,SATS28_28_Difficulty_R_Time1,QRPs_1_Time1,QRPs_2_Time1,QRPs_3_Time1,QRPs_4_Time1,QRPs_5_Time1,QRPs_6_Time1,QRPs_7_Time1,QRPs_8_Time1,QRPs_9_Time1,QRPs_10_Time1,QRPs_11_Time1,QRPs_12NotQRP_Time1,QRPs_13NotQRP_Time1,QRPs_14NotQRP_Time1,QRPs_15NotQRP_Time1,QRPs_Acceptance_Time1_mean,Understanding_OS_1_Time1,Understanding_OS_2_Time1,Understanding_OS_3_Time1,Understanding_OS_4_Time1,Understanding_OS_5_Time1,Understanding_OS_6_Time1,Understanding_OS_7_Time1,Understanding_OS_8_Time1,Understanding_OS_9_Time1,Understanding_OS_10_Time1,Understanding_OS_11_Time1,Understanding_OS_12_Time1,COMB_1_Opportunity1,COMB_2_Opportunity2,COMB_3_Motivation1,COMB_4_Motivation2,COMB_5_Capability1,COMB_6_Capability2,Time2_Code,Time2_Gender,Age_Time2,Group_indiv,Other_OS_behav_2,Other_OS_behav_4,Other_OS_behav_5,Closely_follow,Included_prereg_2,Included_prereg_4,Included_prereg_5,Included_prereg_6,Included_prereg_8,Included_prereg_9,Included_prereg_10,Included_prereg_11,Included_prereg_12,Included_prereg_13,Included_prereg_14,Included_prereg_15,Included_prereg_17,Included_prereg_18,SATS28_1_Affect_F_Time2,SATS28_2_Affect_R_Time2,SATS28_3_Affect_R_Time2,SATS28_4_Affect_R_Time2,SATS28_5_Affect_F_Time2,SATS28_6_Affect_R_Time2,SATS28_7_CognitiveCompetence_R_Time2,SATS28_8_CognitiveCompetence_R_Time2,SATS28_9_CognitiveCompetence_R_Time2,SATS28_10_CognitiveCompetence_F_Time2,SATS28_11_CognitiveCompetence_F_Time2,SATS28_12_CognitiveCompetence_R_Time2,SATS28_13_Value_R_Time2,SATS28_14_Value_F_Time2,SATS28_15_Value_F_Time2,SATS28_16_Value_R_Time2,SATS28_17_Value_R_Time2,SATS28_18_Value_F_Time2,SATS28_19_Value_R_Time2,SATS28_20_Value_R_Time2,SATS28_21_Value_R_Time2,SATS28_22_Difficulty_F_Time2,SATS28_23_Difficulty_R_Time2,SATS28_24_Difficulty_F_Time2,SATS28_25_Difficulty_R_Time2,SATS28_26_Difficulty_R_Time2,SATS28_27_Difficulty_R_Time2,SATS28_28_Difficulty_R_Time2,QRPs_1_Time2,QRPs_2_Time2,QRPs_3_Time2,QRPs_4_Time2,QRPs_5_Time2,QRPs_6_Time2,QRPs_7_Time2,QRPs_8_Time2,QRPs_9_Time2,QRPs_10_Time2,QRPs_11_Time2,QRPs_12NotQRP_Time2,QRPs_13NotQRP_Time2,QRPs_14NotQRP_Time2,QRPs_15NotQRP_Time2,Understanding_OS_1_Time2,Understanding_OS_2_Time2,Understanding_OS_3_Time2,Understanding_OS_4_Time2,Understanding_OS_5_Time2,Understanding_OS_6_Time2,Understanding_OS_7_Time2,Understanding_OS_8_Time2,Understanding_OS_9_Time2,Understanding_OS_10_Time2,Understanding_OS_11_Time2,Understanding_OS_12_Time2,Supervisor_1,Supervisor_2,Supervisor_3,Supervisor_4,Supervisor_5,Supervisor_6,Supervisor_7,Supervisor_8,Supervisor_9,Supervisor_10,Supervisor_11,Supervisor_12,Supervisor_13,Supervisor_14,Supervisor_15_R
Tr10,2,22,White European,2,1,Research methods in first year,2, ,1,4,3,5,4,5,3,4,6,6,6,4,5,7,7,7,6,7,3,5,6,6,3,3,2,2,4,4,7,7,7,5,7,3,4,5,7,6,7,7,2,1,1,2,5.909090909,2,2,2,6,7,7,6,6,7,7,7,7,5,5,5,5,5,5,tr10,2,22,1,1,1, ,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,4,5,3,5,4,5,5,3,4,3,4,2,3,2,3,3,3,5,3,1,2,3,3,3,6,6,2,7,6,6,6,7,4,6,6,1,1,2,4,3,6,3,5,6,6,6,6,6,6,7,7,5,5,6,6,5,5,1,5,6,5, ,4,4,5,1
Bi07,2,20,White British,3,2, ,2, ,3,5,2,6,3,5,2,6,6,6,7,3,3,7,7,7,7,7,6,5,7,7,2,2,2,1,6,3,1,7,7,2,7,3,7,7,7,7,6,7,2,1,4,4,6.090909091,2,1,1,1,6,7,1,3,6,6,2,2,5,5,5,5,4,5,Bi07,2,20,1, , , ,2,1,1,1,1,1,1,1,1, ,1,1,1,1, ,5,2,2,2,5,3,5,6,6,6,3,2,7,6,6,6,6,5,6,7,7,3,2,2,2,5,3,3,6,6,1,7,7,5,6,7,7,1,7,4,2,4,2,1,1,1,1,6,6,1,5,6,2,7,3,7,6,7,7,7,7,1,5,7,7,7,5,2,7,1
SK03,2,22,White British,1,2, ,2, ,1,5,5,3,6,5,6,6,6,6,6,5,5,6,6,6,5,5,5,5,4,5,5,3,2,3,6,3,3,7,7,6,6,7,6,7,7,7,5,7,1,1,3,2,6.545454545,6,2,3,6,6,5,2,5,5,5,4,5,5,5,4,1,5,4,SK03,2,23,1, , , ,2, ,1,1, ,1,1,1,1,1,1,1,1,1, ,6,3,6,5,6,3,6,7,6,7,6,5,7,6,6,6,7,6,5,5,6,5,2,3,5,3,5,5,7,7,5,7,7,6,7,7,5,5,6,1,2,4,2,6,3,5,6,6,6,3,5,7,6,6,6,7,7,7,7,7,7,1,7,7,7,7,7,5,7,1
SM95,2,26,White British,2,2, ,2, ,2,6,5,6,6,6,3,3,7,5,6,5,3,7,6,6,6,5,3,5,6,6,3,2,3,3,6,5,3,7,7,2,6,7,5,7,7,4,2,4,4,1,4,2,5.272727273,2,2,2,5,6,6,2,3,4,2,2,2,5,2,1,1,5,3,SM95,2,27,1, , , , , , , , , , , , , , , , , , ,7,3,3,3,7,5,5,4,6,6,5,6,7,6,5,3,1,2,2,5,7,1,2,1,2,2,2,6,4,5,2,6,6,4,7,7,4,4,6,4,2,2,2,4,6,1,5,6,6,2,4,6,6,5,2,1,4,1,1,4,4,1,1,4,1, ,1,1,1,4
St01,2,22,White British,2,2, ,2, ,1,2,2,2,2,1,2,2,2,5,4,3,3,5,5,3,2,1,1,1,1,2,2,2,1,2,2,2,2,7,7,6,7,2,7,7,7,7,5,7,1,1,1,1,6.272727273,6,6,1,3,5,5,1,5,6,6,6,6,5,5,5,1,5,5,St01,2,23,2,1, ,1,3, , , , ,1,1,1, , ,1,1,1, , ,2,3,3,3,2,3,4,5,5,5,3,4,6,5,6,5,5,2,5,5,5,2,1,1,4,4,4,4,6,7,5,7,4,6,7,7,4,4,4,2,1,4,1,7,7,3,4,5,5,1,6,7,7,7,7,7,6,7,7,7,6,1,7,7,7,7,4,2,7,1
St10,2,20,White British,2,1,Trauma,2, ,1,1,7,1,2,1,1,1,1,1,2,1,1,1,1,5,3,1,1,1,1,1,1,1,4,1,1,1,2,7,7,4,4,7,4,4,7,7,4,7,4,4,4,4,5.636363636,1,1,1,1,1,1,1,1,1,1,1,1,5,5,3,3,5,5,St10,2,21,1, , ,1,3, ,1, , ,1, ,1,1, ,1,1, , ,1,7,1,1,1,1,2,1,1,1,2,2,1,3,2,1,3,1,1,1,1,1,1,1,2,2,2,2,3,7,7,4,5,7,7,7,7,7,6,7,4,4,6,5,3,6,3,7,7,5,4,2,2,5,7,6,1,2,1,1,3,3,1,1,3,1,1,1,1,1,7
Wa01,2,21,White,2,2, ,2, ,3,6,6,6,3,5,4,6,6,6,6,6,5,7,6,6,5,6,5,4,6,6,4,4,4,3,4,4,3,6,6,6,6,4,4,5,7,3,2,4,2,2,2,2,4.818181818,4,5,5,6,5,6,4,6,6,6,6,5,4,4,3,3,5,4,Wa01,2,22,1, , , ,3,1,1,1, ,1,1,1,1,1,1,1,1,1,1,6,6,4,5,5,6,6,6,6,7,6,6,7,6,6,6,6,5,4,6,6,4,4,4,3,3,3,3,6,6,5,5,4,5,6,7,3,2,4,1,1,4,3,5,6,6,6,6,7,6,7,7,6,6,6,7,7,7,7,7,7,1,7,7,7,7,7,6,7,1
WA05,2,21,White British,2,2, ,2, ,3,3,6,2,3,1,3,3,3,2,4,2,4,6,5,6,1,1,1,3,4,3,2,2,2,2,3,5,4,2,7,3,7,6,5,6,7,7,6,6,4,4,3,1,5.636363636,2,5,5,2,6,6,2,1,5,1,1,5,4,3,3,4,5,5,WA05,2,22,1,1, , , , , , , , , , , , , , , , , ,2,3,2,2,3,3,3,3,2,4,3,3,5,4,5,3,3,3,3,3,3,3,3,2,2,3,2,2,6,7,5,6,7,7,5,7,6,5,6,4,4,3,1,3,5,5,6,5,6,6,2,6,6,3,3,6,5,5,6,7,6,1,5,5,6,5,3,3,5,2
Wo10,3,22,White British,1,2, ,2, ,2,2,1,2,3,2,3,3,5,5,5,5,1,7,7,6,6,6,5,5,6,7,2,1,2,3,5,3,4,7,7,7,7,7,7,7,7,6,7,7,2,1,3,4,6.909090909,1,1,1,1,5,6,1,5,7,4,5,4,4,5,2,2,4,4,Wo10,3,22,1, , , , , , , , , , , , , , , , , , ,2,2,2,1,2,3,5,5,5,6,2,2,7,7,6,6,6,6,7,7,6,2,2,2,2,3,2,2,6,7,5,7,6,5,7,7,5,6,6,1,1,4,2,2,2,1,6,6,6,1,5,6,5,6,2,7,6,6,7,6,7,1,7,7,7,7,6,5,7,1
su05,2,20,White British,1,2, ,2, ,2,5,5,3,3,5,5,6,6,5,6,6,6,6,6,5,6,6,2,3,6,5,5,3,2,3,3,5,4,6,7,3,7,3,6,7,2,6,7,7,2,1,4,4,5.545454545,5,1,2,5,5,6,2,5,1,5,1,1,1,1,4,2,4,4,SU05,2,21,1, , , ,2,1,1,1, ,1,1,1,1,1,1,1,1,1, ,5,5,3,3,5,6,6,6,6,6,5,6,5,5,5,6,6,2,5,6,6,5,3,2,3,5,5,6,6,6,6,6,7,7,6,3,6,6,6,2,2,2,2,5,2,5,5,5,6,2,5,6,2,5,2,5,5,6,6,6,6,1,5,6,6,6,6,6,6,2
